,center,left,right,steering,throttle,break,speed,qs
0,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_43_671.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_43_671.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_43_671.jpg,0.0,0.0,0.0,1.124834e-06,20.027373135171484
1,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_43_744.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_43_744.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_43_744.jpg,0.0,0.0,0.0,5.692819999999999e-07,20.27895204246453
2,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_43_816.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_43_816.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_43_816.jpg,0.0,0.0,0.0,1.950659e-06,20.530536287720516
3,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_43_888.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_43_888.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_43_888.jpg,0.0,0.0,0.0,1.386356e-06,20.782115604798356
4,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_43_966.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_43_966.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_43_966.jpg,0.0,0.0,0.0,3.6154570000000002e-06,21.033701926578722
5,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_039.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_039.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_039.jpg,0.0,0.0,0.0,2.551445e-06,21.285287646449913
6,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_113.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_113.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_113.jpg,0.0,0.0,0.0,2.288648e-06,21.53687354185454
7,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_191.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_191.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_191.jpg,0.0,0.0,0.0,3.383298e-06,21.78845935611581
8,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_260.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_260.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_260.jpg,0.0,0.0,0.0,1.993055e-06,22.040045077921658
9,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_327.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_327.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_327.jpg,0.0,0.0,0.0,5.459372e-07,22.291630811312867
10,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_404.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_404.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_404.jpg,0.0,0.0,0.0,8.791571e-06,22.543220890096723
11,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_473.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_473.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_473.jpg,0.0,0.0,0.0,1.793628e-06,22.794804150166964
12,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_548.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_548.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_548.jpg,0.0,0.0,0.0,1.3925109999999999e-05,23.046388385220062
13,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_616.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_616.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_616.jpg,0.0,0.0,0.0,2.59277e-06,23.297972852510817
14,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_690.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_690.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_690.jpg,0.0,0.0,0.0,8.742528e-06,23.549568497571062
15,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_764.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_764.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_764.jpg,0.0,0.06246614,0.0,0.004248465999999999,23.80115559138333
16,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_835.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_835.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_835.jpg,0.0,0.25326309999999996,0.0,0.145061,24.05270685416666
17,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_907.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_907.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_907.jpg,0.0,0.4869361,0.0,0.5426208,24.303081012499998
18,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_44_974.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_44_974.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_44_974.jpg,0.0,0.6704911,0.0,0.9565267,24.550147839166662
19,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_45_050.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_45_050.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_45_050.jpg,0.0,0.9186511999999999,0.0,1.7618049999999998,24.793711949999995
20,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_45_115.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_45_115.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_45_115.jpg,0.0,1.0,0.0,2.442841,25.03043849166666
21,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_45_188.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_45_188.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_45_188.jpg,0.0,1.0,0.0,3.3771419999999996,25.2612734
22,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_45_254.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_45_254.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_45_254.jpg,0.0,1.0,0.0,4.082351999999999,25.484659799999996
23,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/center_2018_10_01_13_50_45_329.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/left_2018_10_01_13_50_45_329.jpg,/Users/garretttaylor/self-driving-car-sim/Outputs/IMG/right_2018_10_01_13_50_45_329.jpg,0.0,1.0,0.0,5.015301999999999,25.702247783333334
